"ranking","name","count","total","male","female","langs"
"23024","베니카","1","1","0","1","@{ko=베니카; en=Benika}"
"23024","베다","1","1","0","1","@{ko=베다; en=Beda}"
"23024","베다니보윤","1","1","0","1","@{ko=베다니보윤; en=Bedaniboyun}"
"23024","베다니시원","1","1","0","1","@{ko=베다니시원; en=Bedanisiwon}"
"23024","베단리","1","1","1","0","@{ko=베단리; en=Bedanri}"
"23024","베델","1","1","1","0","@{ko=베델; en=Bedel}"
"23024","베드로윤","1","1","1","0","@{ko=베드로윤; en=Bedeuroyun}"
"23024","베들","1","1","1","0","@{ko=베들; en=Bedeul}"
"23024","베디르한","1","1","1","0","@{ko=베디르한; en=Bedireuhan}"
"23024","베띠아나","1","1","0","1","@{ko=베띠아나; en=Bettiana}"
"23024","베라나임","1","1","0","1","@{ko=베라나임; en=Beranaim}"
"23024","베라솔레","1","1","0","1","@{ko=베라솔레; en=Berasolre}"
"23024","베라예랑","1","1","0","1","@{ko=베라예랑; en=Berayerang}"
"23024","베라오콘코","1","1","0","1","@{ko=베라오콘코; en=Beraokonko}"
"23024","베라트지한","1","1","1","0","@{ko=베라트지한; en=Berateujihan}"
"23024","베라페이스","1","1","0","1","@{ko=베라페이스; en=Berapeiseu}"
"23024","베레니스","1","1","0","1","@{ko=베레니스; en=Bereniseu}"
"23024","베렌드윤","1","1","1","0","@{ko=베렌드윤; en=Berendeuyun}"
"23024","베렌유진","1","1","0","1","@{ko=베렌유진; en=Berenyujin}"
"23024","베로니아","1","1","0","1","@{ko=베로니아; en=Beronia}"
"23024","베로니카민아","1","1","0","1","@{ko=베로니카민아; en=Beronikamina}"
"23024","베로니카시아","1","1","0","1","@{ko=베로니카시아; en=Beronikasia}"
"23024","베로니카영","1","1","0","1","@{ko=베로니카영; en=Beronikayeong}"
"23024","베로니카유나","1","1","0","1","@{ko=베로니카유나; en=Beronikayuna}"
"23024","베로니카주아","1","1","0","1","@{ko=베로니카주아; en=Beronikajua}"
"23024","베로닉지민","1","1","0","1","@{ko=베로닉지민; en=Beronikjimin}"
"23024","베론레온","1","1","1","0","@{ko=베론레온; en=Beronreon}"
"23024","베르나도유","1","1","1","0","@{ko=베르나도유; en=Bereunadoyu}"
"23024","베르나드","1","1","1","0","@{ko=베르나드; en=Bereunadeu}"
"23024","베르다","1","1","0","1","@{ko=베르다; en=Bereuda}"
"23024","베르트수련마리","1","1","0","1","@{ko=베르트수련마리; en=Bereuteusuryeonmari}"
"23024","베른하르트보인","1","1","1","0","@{ko=베른하르트보인; en=Bereunhareuteuboin}"
"23024","베를로세","1","1","1","0","@{ko=베를로세; en=Bereulrose}"
"23024","베리타비안","1","1","0","1","@{ko=베리타비안; en=Beritabian}"
"23024","베리토","1","1","0","1","@{ko=베리토; en=Berito}"
"23024","베리티레즐리","1","1","0","1","@{ko=베리티레즐리; en=Beritirejeulri}"
"23024","베리티캐서린","1","1","0","1","@{ko=베리티캐서린; en=Beritikaeseorin}"
"23024","베릴","1","1","0","1","@{ko=베릴; en=Beril}"
"23024","베릴수","1","1","0","1","@{ko=베릴수; en=Berilsu}"
"23024","베벌리","1","1","0","1","@{ko=베벌리; en=Bebeolri}"
"23024","베블리다바","1","1","0","1","@{ko=베블리다바; en=Bebeulridaba}"
"23024","베스테","1","1","0","1","@{ko=베스테; en=Beseute}"
"23024","베스트버스타드이삭","1","1","1","0","@{ko=베스트버스타드이삭; en=Beseuteubeoseutadeuisak}"
"23024","베스퍼","1","1","0","1","@{ko=베스퍼; en=Beseupeo}"
"23024","베써니유담","1","1","0","1","@{ko=베써니유담; en=Besseoniyudam}"
"23024","베아뜨리즈","1","1","0","1","@{ko=베아뜨리즈; en=Beatteurijeu}"
"23024","베아셰인","1","1","0","1","@{ko=베아셰인; en=Beasyein}"
"23024","베아트리스리아","1","1","0","1","@{ko=베아트리스리아; en=Beateuriseuria}"
"23024","베아트리체나래","1","1","0","1","@{ko=베아트리체나래; en=Beateurichenarae}"
"23024","베아트리체세진","1","1","0","1","@{ko=베아트리체세진; en=Beateurichesejin}"
"23024","베아트리체제이최","1","1","0","1","@{ko=베아트리체제이최; en=Beateurichejeichoe}"
"23024","베아트리체희수","1","1","0","1","@{ko=베아트리체희수; en=Beateurichehuisu}"
"23024","베안네","1","1","1","0","@{ko=베안네; en=Beanne}"
"23024","베어","1","1","1","0","@{ko=베어; en=Beeo}"
"23024","베이나","1","1","0","1","@{ko=베이나; en=Beina}"
"23024","베이딘","1","1","1","0","@{ko=베이딘; en=Beidin}"
"23024","베이아경자앨리스","1","1","0","1","@{ko=베이아경자앨리스; en=Beiagyeongjaaelriseu}"
"23024","베이지","1","1","1","0","@{ko=베이지; en=Beiji}"
"23024","베이커","1","1","0","1","@{ko=베이커; en=Beikeo}"
"23024","베일리라온","1","1","1","0","@{ko=베일리라온; en=Beilriraon}"
"23024","베일리아다온","1","1","0","1","@{ko=베일리아다온; en=Beilriadaon}"
"23024","베일리유라","1","1","0","1","@{ko=베일리유라; en=Beilriyura}"
"23024","베일리조","1","1","0","1","@{ko=베일리조; en=Beilrijo}"
"23024","베일리진","1","1","1","0","@{ko=베일리진; en=Beilrijin}"
"23024","베일리하나","1","1","0","1","@{ko=베일리하나; en=Beilrihana}"
"23024","베카수민","1","1","0","1","@{ko=베카수민; en=Bekasumin}"
"23024","베카예나","1","1","0","1","@{ko=베카예나; en=Bekayena}"
"23024","베커","1","1","1","0","@{ko=베커; en=Bekeo}"
"23024","베컴헉슬리","1","1","1","0","@{ko=베컴헉슬리; en=Bekeomheokseulri}"
"23024","베키수지","1","1","0","1","@{ko=베키수지; en=Bekisuji}"
"23024","베탄하은","1","1","0","1","@{ko=베탄하은; en=Betanhaeun}"
"23024","베토","1","1","1","0","@{ko=베토; en=Beto}"
"23024","베트니","1","1","0","1","@{ko=베트니; en=Beteuni}"
"23024","베트훙","1","1","1","0","@{ko=베트훙; en=Beteuhung}"
"23024","베하","1","1","0","1","@{ko=베하; en=Beha}"
"23024","베헌태현","1","1","1","0","@{ko=베헌태현; en=Beheontaehyeon}"
"23024","벤기율","1","1","1","0","@{ko=벤기율; en=Bengiyul}"
"23024","벤남","1","1","1","0","@{ko=벤남; en=Bennam}"
"23024","벤민호","1","1","1","0","@{ko=벤민호; en=Benminho}"
"23024","벤선재죠지","1","1","1","0","@{ko=벤선재죠지; en=Benseonjaejyoji}"
"23024","벤수호","1","1","1","0","@{ko=벤수호; en=Bensuho}"
"23024","벤슨진","1","1","1","0","@{ko=벤슨진; en=Benseunjin}"
"23024","벤슨헨리","1","1","1","0","@{ko=벤슨헨리; en=Benseunhenri}"
"23024","벤야민건민","1","1","1","0","@{ko=벤야민건민; en=Benyamingeonmin}"
"23024","벤야민노엘","1","1","1","0","@{ko=벤야민노엘; en=Benyaminnoel}"
"23024","벤야민주민","1","1","1","0","@{ko=벤야민주민; en=Benyaminjumin}"
"23024","벤야민준우","1","1","1","0","@{ko=벤야민준우; en=Benyaminjunu}"
"23024","벤야민하준","1","1","1","0","@{ko=벤야민하준; en=Benyaminhajun}"
"23024","벤야민홈","1","1","1","0","@{ko=벤야민홈; en=Benyaminhom}"
"23024","벤유진","1","1","1","0","@{ko=벤유진; en=Benyujin}"
"23024","벤이든송","1","1","1","0","@{ko=벤이든송; en=Benideunsong}"
"23024","벤인수","1","1","1","0","@{ko=벤인수; en=Beninsu}"
"23024","벤자망재아","1","1","1","0","@{ko=벤자망재아; en=Benjamangjaea}"
"23024","벤자민가을","1","1","1","0","@{ko=벤자민가을; en=Benjamingaeul}"
"23024","벤자민건","1","1","1","0","@{ko=벤자민건; en=Benjamingeon}"
"23024","벤자민게리","1","1","1","0","@{ko=벤자민게리; en=Benjamingeri}"
"23024","벤자민규민","1","1","1","0","@{ko=벤자민규민; en=Benjamingyumin}"
"23024","벤자민규진","1","1","1","0","@{ko=벤자민규진; en=Benjamingyujin}"
"23024","벤자민기경","1","1","1","0","@{ko=벤자민기경; en=Benjamingigyeong}"
"23024","벤자민기상","1","1","1","0","@{ko=벤자민기상; en=Benjamingisang}"
"23024","벤자민나단","1","1","1","0","@{ko=벤자민나단; en=Benjaminnadan}"
"23024","벤자민다솔","1","1","1","0","@{ko=벤자민다솔; en=Benjamindasol}"
"23024","벤자민담준","1","1","1","0","@{ko=벤자민담준; en=Benjamindamjun}"
"23024","벤자민도영","1","1","1","0","@{ko=벤자민도영; en=Benjamindoyeong}"
"23024","벤자민도윤","1","1","1","0","@{ko=벤자민도윤; en=Benjamindoyun}"
"23024","벤자민도윤함","1","1","1","0","@{ko=벤자민도윤함; en=Benjamindoyunham}"
"23024","벤자민도진","1","1","1","0","@{ko=벤자민도진; en=Benjamindojin}"
"23024","벤자민도현","1","1","1","0","@{ko=벤자민도현; en=Benjamindohyeon}"
"23024","벤자민라인","1","1","1","0","@{ko=벤자민라인; en=Benjaminrain}"
"23024","벤자민레오넬","1","1","1","0","@{ko=벤자민레오넬; en=Benjaminreonel}"
"23024","벤자민로버트","1","1","1","0","@{ko=벤자민로버트; en=Benjaminrobeoteu}"
"23024","벤자민로운","1","1","1","0","@{ko=벤자민로운; en=Benjaminroun}"
"23024","벤자민루이스","1","1","1","0","@{ko=벤자민루이스; en=Benjaminruiseu}"
"23024","벤자민루카스","1","1","1","0","@{ko=벤자민루카스; en=Benjaminrukaseu}"
"23024","벤자민리오","1","1","1","0","@{ko=벤자민리오; en=Benjaminrio}"
"23024","벤자민리올","1","1","1","0","@{ko=벤자민리올; en=Benjaminriol}"
"23024","벤자민마이클주니어","1","1","1","0","@{ko=벤자민마이클주니어; en=Benjaminmaikeuljunieo}"
"23024","벤자민민기","1","1","1","0","@{ko=벤자민민기; en=Benjaminmingi}"
"23024","벤자민민서","1","1","1","0","@{ko=벤자민민서; en=Benjaminminseo}"
"23024","벤자민사무엘","1","1","1","0","@{ko=벤자민사무엘; en=Benjaminsamuel}"
"23024","벤자민사이먼","1","1","1","0","@{ko=벤자민사이먼; en=Benjaminsaimeon}"
"23024","벤자민서준","1","1","1","0","@{ko=벤자민서준; en=Benjaminseojun}"
"23024","벤자민서진","1","1","1","0","@{ko=벤자민서진; en=Benjaminseojin}"
"23024","벤자민석찬","1","1","1","0","@{ko=벤자민석찬; en=Benjaminseokchan}"
"23024","벤자민성우","1","1","1","0","@{ko=벤자민성우; en=Benjaminseongu}"
"23024","벤자민성준","1","1","1","0","@{ko=벤자민성준; en=Benjaminseongjun}"
"23024","벤자민세종","1","1","1","0","@{ko=벤자민세종; en=Benjaminsejong}"
"23024","벤자민시우","1","1","1","0","@{ko=벤자민시우; en=Benjaminsiu}"
"23024","벤자민시윤","1","1","1","0","@{ko=벤자민시윤; en=Benjaminsiyun}"
"23024","벤자민신우","1","1","1","0","@{ko=벤자민신우; en=Benjaminsinu}"
"23024","벤자민아론","1","1","1","0","@{ko=벤자민아론; en=Benjaminaron}"
"23024","벤자민안","1","1","1","0","@{ko=벤자민안; en=Benjaminan}"
"23024","벤자민애런","1","1","1","0","@{ko=벤자민애런; en=Benjaminaereon}"
"23024","벤자민앨런","1","1","1","0","@{ko=벤자민앨런; en=Benjaminaelreon}"
"23024","벤자민에릭","1","1","1","0","@{ko=벤자민에릭; en=Benjaminerik}"
"23024","벤자민영","1","1","1","0","@{ko=벤자민영; en=Benjaminyeong}"
"23024","벤자민영민","1","1","1","0","@{ko=벤자민영민; en=Benjaminyeongmin}"
"23024","벤자민영수","1","1","1","0","@{ko=벤자민영수; en=Benjaminyeongsu}"
"23024","벤자민우성","1","1","1","0","@{ko=벤자민우성; en=Benjaminuseong}"
"23024","벤자민우재","1","1","1","0","@{ko=벤자민우재; en=Benjaminujae}"
"23024","벤자민윈","1","1","1","0","@{ko=벤자민윈; en=Benjaminwin}"
"23024","벤자민윌리암","1","1","1","0","@{ko=벤자민윌리암; en=Benjaminwilriam}"
"23024","벤자민윌리엄","1","1","1","0","@{ko=벤자민윌리엄; en=Benjaminwilrieom}"
"23024","벤자민유라가촌","1","1","1","0","@{ko=벤자민유라가촌; en=Benjaminyuragachon}"
"23024","벤자민유라야","1","1","1","0","@{ko=벤자민유라야; en=Benjaminyuraya}"
"23024","벤자민유민","1","1","1","0","@{ko=벤자민유민; en=Benjaminyumin}"
"23024","벤자민유준","1","1","1","0","@{ko=벤자민유준; en=Benjaminyujun}"
"23024","벤자민윤","1","1","1","0","@{ko=벤자민윤; en=Benjaminyun}"
"23024","벤자민윤수","1","1","1","0","@{ko=벤자민윤수; en=Benjaminyunsu}"
"23024","벤자민윤재","1","1","1","0","@{ko=벤자민윤재; en=Benjaminyunjae}"
"23024","벤자민은호","1","1","1","0","@{ko=벤자민은호; en=Benjamineunho}"
"23024","벤자민이삭","1","1","1","0","@{ko=벤자민이삭; en=Benjaminisak}"
"23024","벤자민인열도미니끄","1","1","1","0","@{ko=벤자민인열도미니끄; en=Benjamininyeoldominikkeu}"
"23024","벤자민재영","1","1","1","0","@{ko=벤자민재영; en=Benjaminjaeyeong}"
"23024","벤자민재이","1","1","1","0","@{ko=벤자민재이; en=Benjaminjaei}"
"23024","벤자민재준","1","1","1","0","@{ko=벤자민재준; en=Benjaminjaejun}"
"23024","벤자민재준패트릭","1","1","1","0","@{ko=벤자민재준패트릭; en=Benjaminjaejunpaeteurik}"
"23024","벤자민정모","1","1","1","0","@{ko=벤자민정모; en=Benjaminjeongmo}"
"23024","벤자민제임","1","1","1","0","@{ko=벤자민제임; en=Benjaminjeim}"
"23024","벤자민존","1","1","1","0","@{ko=벤자민존; en=Benjaminjon}"
"23024","벤자민죠셉","1","1","1","0","@{ko=벤자민죠셉; en=Benjaminjyosep}"
"23024","벤자민주영","1","1","1","0","@{ko=벤자민주영; en=Benjaminjuyeong}"
"23024","벤자민주원","1","1","1","0","@{ko=벤자민주원; en=Benjaminjuwon}"
"23024","벤자민준기","1","1","1","0","@{ko=벤자민준기; en=Benjaminjungi}"
"23024","벤자민준명","1","1","1","0","@{ko=벤자민준명; en=Benjaminjunmyeong}"
"23024","벤자민준서","1","1","1","0","@{ko=벤자민준서; en=Benjaminjunseo}"
"23024","벤자민준하","1","1","1","0","@{ko=벤자민준하; en=Benjaminjunha}"
"23024","벤자민지후","1","1","1","0","@{ko=벤자민지후; en=Benjaminjihu}"
"23024","벤자민진수","1","1","1","0","@{ko=벤자민진수; en=Benjaminjinsu}"
"23024","벤자민찬","1","1","1","0","@{ko=벤자민찬; en=Benjaminchan}"
"23024","벤자민찬영","1","1","1","0","@{ko=벤자민찬영; en=Benjaminchanyeong}"
"23024","벤자민찬휘","1","1","1","0","@{ko=벤자민찬휘; en=Benjaminchanhwi}"
"23024","벤자민켄트","1","1","1","0","@{ko=벤자민켄트; en=Benjaminkenteu}"
"23024","벤자민코나","1","1","1","0","@{ko=벤자민코나; en=Benjaminkona}"
"23024","벤자민콜린","1","1","1","0","@{ko=벤자민콜린; en=Benjaminkolrin}"
"23024","벤자민크리스찬","1","1","1","0","@{ko=벤자민크리스찬; en=Benjaminkeuriseuchan}"
"23024","벤자민키쓰","1","1","1","0","@{ko=벤자민키쓰; en=Benjaminkisseu}"
"23024","벤자민킴","1","1","1","0","@{ko=벤자민킴; en=Benjaminkim}"
"23024","벤자민킴루이스","1","1","1","0","@{ko=벤자민킴루이스; en=Benjaminkimruiseu}"
"23024","벤자민타일러","1","1","1","0","@{ko=벤자민타일러; en=Benjamintailreo}"
"23024","벤자민태양","1","1","1","0","@{ko=벤자민태양; en=Benjamintaeyang}"
"23024","벤자민태윤","1","1","1","0","@{ko=벤자민태윤; en=Benjamintaeyun}"
"23024","벤자민태준","1","1","1","0","@{ko=벤자민태준; en=Benjamintaejun}"
"23024","벤자민토바야스","1","1","1","0","@{ko=벤자민토바야스; en=Benjamintobayaseu}"
"23024","벤자민팍스","1","1","1","0","@{ko=벤자민팍스; en=Benjaminpakseu}"
"23024","벤자민프리먼","1","1","1","0","@{ko=벤자민프리먼; en=Benjaminpeurimeon}"
"23024","벤자민하늘","1","1","1","0","@{ko=벤자민하늘; en=Benjaminhaneul}"
"23024","벤자민하루","1","1","1","0","@{ko=벤자민하루; en=Benjaminharu}"
"23024","벤자민하율","1","1","1","0","@{ko=벤자민하율; en=Benjaminhayul}"
"23024","벤자민하종","1","1","1","0","@{ko=벤자민하종; en=Benjaminhajong}"
"23024","벤자민한결","1","1","1","0","@{ko=벤자민한결; en=Benjaminhangyeol}"
"23024","벤자민한비","1","1","1","0","@{ko=벤자민한비; en=Benjaminhanbi}"
"23024","벤자민현우","1","1","1","0","@{ko=벤자민현우; en=Benjaminhyeonu}"
"23024","벤자민호인","1","1","1","0","@{ko=벤자민호인; en=Benjaminhoin}"
"23024","벤자민홍","1","1","1","0","@{ko=벤자민홍; en=Benjaminhong}"
"23024","벤자민효빈","1","1","1","0","@{ko=벤자민효빈; en=Benjaminhyobin}"
"23024","벤자팟","1","1","0","1","@{ko=벤자팟; en=Benjapat}"
"23024","벤쟈민민우","1","1","1","0","@{ko=벤쟈민민우; en=Benjyaminminu}"
"23024","벤쟈민의연","1","1","1","0","@{ko=벤쟈민의연; en=Benjyaminuiyeon}"
"23024","벤쟈민제이","1","1","1","0","@{ko=벤쟈민제이; en=Benjyaminjei}"
"23024","벤저민윤","1","1","1","0","@{ko=벤저민윤; en=Benjeominyun}"
"23024","벤저민최","1","1","1","0","@{ko=벤저민최; en=Benjeominchoe}"
"23024","벤제민제민","1","1","1","0","@{ko=벤제민제민; en=Benjeminjemin}"
"23024","벤지민이","1","1","1","0","@{ko=벤지민이; en=Benjimini}"
"23024","벤틀리김","1","1","1","0","@{ko=벤틀리김; en=Benteulrigim}"
"23024","벤틀리레이온","1","1","1","0","@{ko=벤틀리레이온; en=Benteulrireion}"
"23024","벤틀리준서","1","1","1","0","@{ko=벤틀리준서; en=Benteulrijunseo}"
"23024","벤하민이안","1","1","1","0","@{ko=벤하민이안; en=Benhaminian}"
"23024","벤허","1","1","1","0","@{ko=벤허; en=Benheo}"
"23024","벤희","1","1","1","0","@{ko=벤희; en=Benhui}"
"23024","벧","1","1","1","0","@{ko=벧; en=Bet}"
"23024","벨라가야","1","1","0","1","@{ko=벨라가야; en=Belragaya}"
"23024","벨라가온","1","1","0","1","@{ko=벨라가온; en=Belragaon}"
"23024","벨라나라","1","1","0","1","@{ko=벨라나라; en=Belranara}"
"23024","벨라데따","1","1","0","1","@{ko=벨라데따; en=Belradetta}"
"23024","벨라로즈","1","1","0","1","@{ko=벨라로즈; en=Belrarojeu}"
"23024","벨라릴리","1","1","0","1","@{ko=벨라릴리; en=Belrarilri}"
"23024","벨라마리에","1","1","0","1","@{ko=벨라마리에; en=Belramarie}"
"23024","벨라매","1","1","0","1","@{ko=벨라매; en=Belramae}"
"23024","벨라문","1","1","0","1","@{ko=벨라문; en=Belramun}"
"23024","벨라미야비","1","1","0","1","@{ko=벨라미야비; en=Belramiyabi}"
"23024","벨라봄","1","1","0","1","@{ko=벨라봄; en=Belrabom}"
"23024","벨라빈","1","1","0","1","@{ko=벨라빈; en=Belrabin}"
"23024","벨라소담","1","1","0","1","@{ko=벨라소담; en=Belrasodam}"
"23024","벨라소원","1","1","0","1","@{ko=벨라소원; en=Belrasowon}"
"23024","벨라소피아","1","1","0","1","@{ko=벨라소피아; en=Belrasopia}"
"23024","벨라소현","1","1","0","1","@{ko=벨라소현; en=Belrasohyeon}"
"23024","벨라솔","1","1","0","1","@{ko=벨라솔; en=Belrasol}"
"23024","벨라송아","1","1","0","1","@{ko=벨라송아; en=Belrasonga}"
"23024","벨라애슐리","1","1","0","1","@{ko=벨라애슐리; en=Belraaesyulri}"
"23024","벨라얼마","1","1","0","1","@{ko=벨라얼마; en=Belraeolma}"
"23024","벨라예온","1","1","0","1","@{ko=벨라예온; en=Belrayeon}"
"23024","벨라올리비아","1","1","0","1","@{ko=벨라올리비아; en=Belraolribia}"
"23024","벨라유나","1","1","0","1","@{ko=벨라유나; en=Belrayuna}"
"23024","벨라윤","1","1","0","1","@{ko=벨라윤; en=Belrayun}"
"23024","벨라은","1","1","0","1","@{ko=벨라은; en=Belraeun}"
"23024","벨라이준","1","1","0","1","@{ko=벨라이준; en=Belraijun}"
"23024","벨라정","1","1","0","1","@{ko=벨라정; en=Belrajeong}"
"23024","벨라준희","1","1","0","1","@{ko=벨라준희; en=Belrajunhui}"
"23024","벨라지민","1","1","0","1","@{ko=벨라지민; en=Belrajimin}"
"23024","벨라지희","1","1","0","1","@{ko=벨라지희; en=Belrajihui}"
"23024","벨라코코","1","1","0","1","@{ko=벨라코코; en=Belrakoko}"
"23024","벨라헤나","1","1","0","1","@{ko=벨라헤나; en=Belrahena}"
"23024","벨라황서현","1","1","0","1","@{ko=벨라황서현; en=Belrahwangseohyeon}"
"23024","벨러리서원","1","1","0","1","@{ko=벨러리서원; en=Belreoriseowon}"
"23024","벨리","1","1","0","1","@{ko=벨리; en=Belri}"
"23024","벨리나연아","1","1","0","1","@{ko=벨리나연아; en=Belrinayeona}"
"23024","벨마","1","1","0","1","@{ko=벨마; en=Belma}"
"23024","벨비아","1","1","0","1","@{ko=벨비아; en=Belbia}"
"23024","벨제닌","1","1","0","1","@{ko=벨제닌; en=Beljenin}"
"23024","벨케","1","1","1","0","@{ko=벨케; en=Belke}"
"23024","벨티스","1","1","1","0","@{ko=벨티스; en=Beltiseu}"
"23024","벼라","1","1","0","1","@{ko=벼라; en=Byeora}"
"23024","벽기","1","1","1","0","@{ko=벽기; en=Byeokgi}"
"23024","벽내","1","1","0","1","@{ko=벽내; en=Byeoknae}"
"23024","벽두","1","1","1","0","@{ko=벽두; en=Byeokdu}"
"23024","벽림","1","1","0","1","@{ko=벽림; en=Byeokrim}"
"23024","벽산","1","1","1","0","@{ko=벽산; en=Byeoksan}"
"23024","벽상","1","1","1","0","@{ko=벽상; en=Byeoksang}"
"23024","벽생","1","1","0","1","@{ko=벽생; en=Byeoksaeng}"
"23024","벽소","1","1","0","1","@{ko=벽소; en=Byeokso}"
"23024","벽송","1","1","1","0","@{ko=벽송; en=Byeoksong}"
"23024","벽심","1","1","1","0","@{ko=벽심; en=Byeoksim}"
"23024","벽앵","1","1","0","1","@{ko=벽앵; en=Byeokaeng}"
"23024","벽우","1","1","1","0","@{ko=벽우; en=Byeoku}"
"23024","벽유","1","1","1","0","@{ko=벽유; en=Byeokyu}"
"23024","벽의","1","1","0","1","@{ko=벽의; en=Byeokui}"
"23024","벽천","1","1","1","0","@{ko=벽천; en=Byeokcheon}"
"23024","벽해","1","1","1","0","@{ko=벽해; en=Byeokhae}"
"23024","변각","1","1","1","0","@{ko=변각; en=Byeongak}"
"23024","변관","1","1","1","0","@{ko=변관; en=Byeongwan}"
"23024","변웹스터","1","1","0","1","@{ko=변웹스터; en=Byeonwepseuteo}"
"23024","변율","1","1","0","1","@{ko=변율; en=Byeonyul}"
"23024","변재","1","1","1","0","@{ko=변재; en=Byeonjae}"
"23024","변지호","1","1","0","1","@{ko=변지호; en=Byeonjiho}"
"23024","변지후","1","1","1","0","@{ko=변지후; en=Byeonjihu}"
"23024","변진","1","1","1","0","@{ko=변진; en=Byeonjin}"
"23024","변창","1","1","1","0","@{ko=변창; en=Byeonchang}"
"23024","별가람","1","1","0","1","@{ko=별가람; en=Byeolgaram}"
"23024","별강","1","1","1","0","@{ko=별강; en=Byeolgang}"
"23024","별겸","1","1","0","1","@{ko=별겸; en=Byeolgyeom}"
"23024","별곤","1","1","1","0","@{ko=별곤; en=Byeolgon}"
"23024","별그린","1","1","0","1","@{ko=별그린; en=Byeolgeurin}"
"23024","별글","1","1","1","0","@{ko=별글; en=Byeolgeul}"
"23024","별나","1","1","0","1","@{ko=별나; en=Byeolna}"
"23024","별다온","1","1","0","1","@{ko=별다온; en=Byeoldaon}"
"23024","별든","1","1","0","1","@{ko=별든; en=Byeoldeun}"
"23024","별라","1","1","0","1","@{ko=별라; en=Byeolra}"
"23024","별라나","1","1","0","1","@{ko=별라나; en=Byeolrana}"
"23024","별무리","1","1","0","1","@{ko=별무리; en=Byeolmuri}"
"23024","별밀리오라","1","1","0","1","@{ko=별밀리오라; en=Byeolmilriora}"
"23024","별바다","1","1","0","1","@{ko=별바다; en=Byeolbada}"
"23024","별봄","1","1","0","1","@{ko=별봄; en=Byeolbom}"
"23024","별부르는","1","1","0","1","@{ko=별부르는; en=Byeolbureuneun}"
"23024","별빛찬","1","1","1","0","@{ko=별빛찬; en=Byeolbitchan}"
"23024","별생","1","1","0","1","@{ko=별생; en=Byeolsaeng}"
"23024","별샤론","1","1","0","1","@{ko=별샤론; en=Byeolsyaron}"
"23024","별셋","1","1","0","1","@{ko=별셋; en=Byeolset}"
"23024","별솜","1","1","0","1","@{ko=별솜; en=Byeolsom}"
"23024","별송","1","1","0","1","@{ko=별송; en=Byeolsong}"
"23024","별수아","1","1","0","1","@{ko=별수아; en=Byeolsua}"
"23024","별스텔라","1","1","0","1","@{ko=별스텔라; en=Byeolseutelra}"
"23024","별아름","1","1","0","1","@{ko=별아름; en=Byeolareum}"
"23024","별암","1","1","1","0","@{ko=별암; en=Byeolam}"
"23024","별에","1","1","0","1","@{ko=별에; en=Byeole}"
"23024","별우","1","1","0","1","@{ko=별우; en=Byeolu}"
"23024","별유니스","1","1","0","1","@{ko=별유니스; en=Byeolyuniseu}"
"23024","별이듬","1","1","0","1","@{ko=별이듬; en=Byeolideum}"
"23024","별이라","1","1","0","1","@{ko=별이라; en=Byeolira}"
"23024","별이아가멤논","1","1","0","1","@{ko=별이아가멤논; en=Byeoliagamemnon}"
"23024","별이자벨라","1","1","0","1","@{ko=별이자벨라; en=Byeolijabelra}"
"23024","별인","1","1","1","0","@{ko=별인; en=Byeolin}"
"23024","별지","1","1","0","1","@{ko=별지; en=Byeolji}"
"23024","별처럼","1","1","0","1","@{ko=별처럼; en=Byeolcheoreom}"
"23024","별케이리","1","1","0","1","@{ko=별케이리; en=Byeolkeiri}"
"23024","별티파니","1","1","0","1","@{ko=별티파니; en=Byeoltipani}"
"23024","별하리","1","1","0","1","@{ko=별하리; en=Byeolhari}"
"23024","별하솔","1","1","0","1","@{ko=별하솔; en=Byeolhasol}"
"23024","별한","1","1","1","0","@{ko=별한; en=Byeolhan}"
"23024","별혜","1","1","0","1","@{ko=별혜; en=Byeolhye}"
"23024","별호","1","1","1","0","@{ko=별호; en=Byeolho}"
"23024","별화","1","1","0","1","@{ko=별화; en=Byeolhwa}"
"23024","별환","1","1","1","0","@{ko=별환; en=Byeolhwan}"
"23024","별후","1","1","1","0","@{ko=별후; en=Byeolhu}"
"23024","별휘루시","1","1","0","1","@{ko=별휘루시; en=Byeolhwirusi}"
"23024","병감","1","1","1","0","@{ko=병감; en=Byeonggam}"
"23024","병경","1","1","1","0","@{ko=병경; en=Byeonggyeong}"
"23024","병국저스틴","1","1","1","0","@{ko=병국저스틴; en=Byeonggukjeoseutin}"
"23024","병권호","1","1","1","0","@{ko=병권호; en=Byeonggwonho}"
"23024","병귀","1","1","1","0","@{ko=병귀; en=Byeonggwi}"
"23024","병균","1","1","1","0","@{ko=병균; en=Byeonggyun}"
"23024","병내","1","1","1","0","@{ko=병내; en=Byeongnae}"
"23024","병녕","1","1","1","0","@{ko=병녕; en=Byeongnyeong}"
"23024","병락","1","1","1","0","@{ko=병락; en=Byeongrak}"
"23024","병란","1","1","0","1","@{ko=병란; en=Byeongran}"
"23024","병린","1","1","1","0","@{ko=병린; en=Byeongrin}"
"23024","병명","1","1","1","0","@{ko=병명; en=Byeongmyeong}"
"23024","병미","1","1","0","1","@{ko=병미; en=Byeongmi}"
"23024","병배","1","1","1","0","@{ko=병배; en=Byeongbae}"
"23024","병범","1","1","1","0","@{ko=병범; en=Byeongbeom}"
"23024","병별","1","1","1","0","@{ko=병별; en=Byeongbyeol}"
